epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.9665,1.96902,12.8586,2.85027,0.0002,0.25,0.00023,2e-05,3.24991,8.59441,3.1986,0.00015003,0.00015003,0.00015003
2,164.852,1.39595,12.894,1.79114,0.55655,0.75,0.69952,0.42858,1.36384,5.27263,1.88562,0.000285374,0.000285374,0.000285374
3,237.797,1.26534,8.14318,2.01808,0.50166,0.9356,0.65989,0.4271,1.29993,4.29374,1.889,0.000387711,0.000387711,0.000387711
4,324.366,1.25266,6.27225,1.94261,0.51097,0.93201,0.55681,0.33924,1.30417,3.29686,1.99194,0.000457041,0.000457041,0.000457041
5,394.337,1.28927,5.13863,2.03807,0.45995,0.9375,0.59169,0.32926,1.42379,2.70171,1.9358,0.000493365,0.000493365,0.000493365
6,474.987,1.18643,4.15441,1.97197,0.39601,0.96289,0.56783,0.29507,1.35302,2.34694,2.12975,0.000496683,0.000496683,0.000496683
7,545.926,1.11137,3.86109,2.04111,0.3762,0.60164,0.52771,0.32036,1.28697,2.43433,2.27872,0.000466993,0.000466993,0.000466993
8,615.358,1.13117,3.20404,2.01746,0.39223,1,0.5085,0.27433,1.27799,2.2075,2.33007,0.000404298,0.000404298,0.000404298
9,684.609,1.13082,3.28644,1.99518,0.42906,1,0.55986,0.32885,1.14939,2.06508,2.3052,0.000308595,0.000308595,0.000308595
10,753.213,1.09973,3.03539,2.13931,0.4311,1,0.57407,0.36215,1.12434,1.97949,2.31028,0.000179886,0.000179886,0.000179886
