epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1965,1.98561,10.2334,2.72224,0.00155,0.375,0.00165,0.00017,3.4814,9.51446,3.51876,0.00015003,0.00015003,0.00015003
2,146.294,1.48265,8.37206,1.9593,0.37365,0.37026,0.55328,0.38378,1.26206,4.82163,1.96183,0.000313594,0.000313594,0.000313594
3,229.951,1.23677,5.64538,2.03405,0.51291,0.97879,0.55988,0.34443,1.17358,3.42181,1.9358,0.000473858,0.000473858,0.000473858
4,303.695,1.18059,4.85774,2.00215,0.60544,0.8125,0.84238,0.58058,1.06363,2.78187,2.10912,0.000630821,0.000630821,0.000630821
5,376.708,1.2473,3.48809,1.67397,0.47847,0.9375,0.72546,0.51121,1.18109,2.34422,2.18866,0.000784484,0.000784484,0.000784484
6,449.963,1.15856,2.71845,1.93673,0.64838,0.62734,0.7295,0.50941,1.08033,2.18365,2.06314,0.000934845,0.000934845,0.000934845
7,521.857,1.08006,2.39924,1.92444,0.6065,0.61835,0.7306,0.57669,1.08504,2.01042,2.12406,0.00108191,0.00108191,0.00108191
8,594.196,1.07522,2.04101,2.11208,0.55882,0.64842,0.75731,0.57175,1.0027,1.87224,2.09263,0.00122567,0.00122567,0.00122567
9,666.499,1.04854,1.85743,1.8988,0.48301,0.95074,0.75333,0.6124,0.89539,1.54997,1.86294,0.00136613,0.00136613,0.00136613
10,747.15,1.0655,1.81348,1.79098,0.43817,0.75,0.68432,0.49072,0.96702,1.65005,2.06586,0.00150329,0.00150329,0.00150329
11,818.678,1.09938,1.6516,1.9053,0.47061,0.72219,0.708,0.5508,0.98977,1.44248,1.98239,0.00150197,0.00150197,0.00150197
12,898.659,1.08308,1.6567,1.97782,0.53612,0.74708,0.55271,0.41533,0.99035,1.3695,2.02331,0.00148546,0.00148546,0.00148546
13,992.002,0.9973,1.54692,1.87588,0.44392,0.75,0.58271,0.42057,0.93023,1.33317,2.00255,0.00146896,0.00146896,0.00146896
14,1065.83,1.02081,1.44997,1.93215,0.45943,0.75,0.57472,0.41279,0.91817,1.18644,1.96045,0.00145246,0.00145246,0.00145246
15,1140.94,1.09211,1.39558,1.87662,0.42751,1,0.59556,0.44125,0.97433,1.11161,2.01014,0.00143595,0.00143595,0.00143595
16,1219.48,1.0576,1.34389,1.88557,0.4799,1,0.60944,0.45568,1.12433,1.09309,1.98001,0.00141945,0.00141945,0.00141945
17,1294.73,1.01835,1.30201,1.92601,0.50159,0.75,0.63681,0.4923,0.98793,1.09688,1.95126,0.00140295,0.00140295,0.00140295
18,1376.93,0.98766,1.27195,1.94139,0.53467,0.75,0.78111,0.59146,0.97494,1.11338,2.0316,0.00138644,0.00138644,0.00138644
19,1453.23,1.01145,1.30571,1.80618,0.54368,0.75,0.78694,0.61563,0.92068,1.07459,2.00893,0.00136994,0.00136994,0.00136994
20,1526.06,1.03004,1.23955,1.87053,0.50624,0.73974,0.79133,0.58725,1.01127,1.06397,1.87448,0.00135344,0.00135344,0.00135344
21,1599.17,0.93205,1.19273,1.8806,0.51499,0.95166,0.78717,0.59646,1.03714,1.13424,1.91823,0.00133693,0.00133693,0.00133693
22,1670.34,1.04257,1.28459,2.06679,0.56114,0.88332,0.78092,0.62136,0.96824,1.25377,1.91275,0.00132043,0.00132043,0.00132043
23,1744.17,0.91479,1.18142,1.70969,0.49354,0.96428,0.7769,0.6272,0.91426,1.06874,1.8066,0.00130393,0.00130393,0.00130393
24,1819.88,0.96704,1.23937,1.95908,0.48945,1,0.60799,0.43378,1.06252,1.05605,1.86734,0.00128742,0.00128742,0.00128742
25,1893.19,0.91467,1.21558,1.98411,0.4941,1,0.68737,0.49546,0.9637,1.02724,1.85688,0.00127092,0.00127092,0.00127092
26,1975.14,0.85908,1.17462,1.86785,0.53345,0.78515,0.78612,0.55754,1.07296,0.99073,1.85493,0.00125442,0.00125442,0.00125442
27,2055.09,0.94251,1.18924,1.85902,0.49787,1,0.60778,0.3792,1.32268,1.0737,1.94289,0.00123791,0.00123791,0.00123791
28,2129.18,0.94864,1.15628,2.01822,0.50699,1,0.68375,0.52163,0.87516,1.00479,1.89684,0.00122141,0.00122141,0.00122141
29,2204.7,0.92669,1.14019,1.92097,0.49429,1,0.62889,0.46059,1.00729,1.07658,1.91082,0.00120491,0.00120491,0.00120491
30,2276.41,0.85886,1.16747,2.08938,0.50323,1,0.6855,0.57615,0.80189,1.00284,1.81726,0.0011884,0.0011884,0.0011884
